,FID,NomeEstaca,CodEstacao,Bacia,SubBacia,Operadora,Responsave,Municipio_,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEsta,COMID,new_COMID,watershed,subbasin,RT2y,RT5y,RT10y,RT25y,RT50y,RT100y
0,0,TABATINGA,10100000,1,10,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,TABATINGA-AM,-4.2347,-69.9447,78,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,147604,9039635,south_america,geoglows,1195.2608013306726,1274.1250944433498,1326.3401186925119,1392.3139402506738,1441.2570898867916,1489.8388509886438
1,1,PALMEIRAS DO JAVARI,10200000,1,10,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,ATALAIA DO NORTE-AM,-5.1389,-72.81359999999998,142,10900000,RIO JAVARI,RHN,Ativo,149152,9043285,south_america,geoglows,1542.4198576374292,1602.0429215083761,1641.5185777649133,1691.3961740929838,1728.3982243444236,1765.1270572650499
2,2,ESTIRAO DO REPOUSO,10500000,1,10,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,ATALAIA DO NORTE-AM,-4.3408,-70.9056,89,10900000,RIO JAVARI,RHN,Ativo,147680,9039819,south_america,geoglows,1572.4303100207699,1666.3014743799959,1728.452353185326,1806.9801533146467,1865.2365614103362,1923.0628133332045
3,3,LADARIO - JUSANTE,10910000,1,10,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,ATALAIA DO NORTE-AM,-4.5836,-70.2644,91,10940000,RIO ITACUAI,RHN,Ativo,148224,9041015,south_america,geoglows,1698.5646908374817,1766.5562220447755,1811.5725318423433,1868.4507586074944,1910.6462764334497,1952.5302291792445
4,4,SAO PAULO DE OLIVENCA,11400000,1,11,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,SAO PAULO DE OLIVENCA-AM,-3.4569,-68.9119,71,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,145872,9035798,south_america,geoglows,1331.8423420503245,1404.519893326659,1452.6387561539923,1513.4370668969602,1558.5407269554116,1603.311348667951
5,5,SANTO ANTONIO DO ICA,11500000,1,11,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,SANTO ANTONIO DO ICA-AM,-3.1017,-67.9356,53,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,145251,9034355,south_america,geoglows,1273.096724295302,1349.9495625876737,1400.8328287233344,1465.1239703746653,1512.818811931538,1560.1614822650545
6,6,COLOCACAO CAXIAS NOVO,12100000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,JUTAI-AM,-4.6514,-68.3244,0,12103000,RIO JUTAI,RHN,Ativo,148348,9041357,south_america,geoglows,1204.570212161576,1260.5143012088754,1297.554156013996,1344.354110751017,1379.0729906576212,1413.5355118048471
7,7,PORTO SEGURO,12240000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,JUTAI-AM,-3.3372,-67.4917,0,12103000,RIO JUTAI,RHN,Ativo,145803,9035654,south_america,geoglows,1455.4382953221536,1497.922077587827,1526.0500380835724,1561.5897907357246,1587.955209488243,1614.1259501272953
8,8,FONTE BOA,12351000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,FONTE BOA-AM,-2.4914,-66.0617,0,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,144429,9032035,south_america,geoglows,2076.10311098289,2143.708531424996,2188.4692022994036,2245.024428607456,2286.9803262426904,2328.6264281156396
9,9,THAUMATURGO,12370000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,MARECHAL THAUMATURGO-AC,-8.9458,-72.7847,0,12200000,RIO JURUA,RHN,Ativo,156573,9060283,south_america,geoglows,946.4649403491205,1046.203464390953,1112.239045841981,1195.6751780622872,1257.5728672952393,1319.013513707028
10,10,PORTO WALTER,12390000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,PORTO WALTER-AC,-8.2672,-72.7411,0,12200000,RIO JURUA,RHN,Ativo,155370,9057704,south_america,geoglows,940.9273465736959,1034.052138670701,1095.708854094448,1173.612277481136,1231.4054872411489,1288.7719610121426
11,11,CRUZEIRO DO SUL,12500000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,CRUZEIRO DO SUL-AC,-7.6333,-72.6603,0,12200000,RIO JURUA,RHN,Ativo,154077,9054705,south_america,geoglows,1268.7478790037558,1394.195383993577,1477.2525478444181,1582.1954945502287,1660.0481673615125,1737.3259882573577
12,12,IPIXUNA,12520000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,IPIXUNA-AM,-7.0556,-71.6892,0,12200000,RIO JURUA,RHN,Ativo,152974,9052129,south_america,geoglows,1298.4222403320134,1358.6400233389134,1398.5094354116707,1448.884543257362,1486.2556759732934,1523.3508661114286
13,13,SERINGAL SANTO AMARO,12540000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,EIRUNEPE-AM,-7.2667,-70.9833,0,12266000,RIO GREGORIO,RHN,Ativo,153350,9053064,south_america,geoglows,870.8641195006217,934.2848123757932,976.2748294757299,1029.3293273948773,1068.6881847294753,1107.7564224397079
14,14,EIRUNEPE - MONTANTE,12550000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,EIRUNEPE-AM,-6.6844,-69.8811,0,12200000,RIO JURUA,RHN,Ativo,152389,9050786,south_america,geoglows,1569.6316756147282,1677.2868126768599,1748.5638807945536,1838.6226453131042,1905.4333815077548,1971.7507977136815
15,15,SERINGAL SANTA HELENA,12640000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,FEIJO-AC,-8.6858,-70.5511,0,12286000,RIO ENVIRA,RHN,Ativo,156132,9059403,south_america,geoglows,992.0777601053377,1054.7972599353054,1096.3230262264972,1148.7909420180902,1187.7146392215222,1226.35092995469
16,16,FEIJO,12650000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,FEIJO-AC,-8.1636,-70.3564,0,12286000,RIO ENVIRA,RHN,Ativo,155061,9056986,south_america,geoglows,1168.1640191138974,1277.845671082079,1350.464468400458,1442.2185113209296,1510.2869018781814,1577.8526861243113
17,17,ENVIRA,12680000,1,12,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,ENVIRA-AM,-7.4281,-70.0225,0,12280000,RIO TARAUACA,RHN,Ativo,153661,9053768,south_america,geoglows,1263.2556147776552,1328.898961144979,1372.3605682561824,1427.274424055675,1468.012659283133,1508.4500897763867
18,18,SANTOS DUMONT,12700000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,ITAMARATI-AM,-6.4403,-68.2461,0,12200000,RIO JURUA,RHN,Ativo,151940,9049584,south_america,geoglows,2035.1799958785118,2146.6932256886016,2220.5246869091707,2313.810933884769,2383.016000938425,2451.7100686401345
19,19,GAVIAO,12840000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,CARAUARI-AM,-4.8392,-66.8506,0,12200000,RIO JURUA,RHN,Ativo,148560,9041876,south_america,geoglows,1410.7990787531799,1455.825686921762,1485.6372194238152,1523.304169769,1551.2476652879818,1578.9848304223656
20,20,FORTE DAS GRACAS,12842000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,JURUA-AM,-3.6414,-66.1031,0,12200000,RIO JURUA,RHN,Ativo,146256,9036683,south_america,geoglows,2615.3002884342627,2680.4097294411754,2723.517844747148,2777.9850627136425,2818.39195648206,2858.500492089596
21,21,VILA BITTENCOURT,12845000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,JAPURA-AM,-1.3947,-69.4283,0,12300000,RIO CAQUETA_JAPURA,RHN,Ativo,142793,9028281,south_america,geoglows,1279.416956308762,1392.6982119802328,1467.7002601620425,1562.465546866334,1632.7678500819939,1702.5510521261212
22,22,ACANAUI,12850000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,JAPURA-AM,-1.8211,-66.6092,0,12300000,RIO CAQUETA_JAPURA,RHN,Ativo,143252,9029657,south_america,geoglows,1350.141002622633,1404.3063208120218,1440.168474533246,1485.480400828739,1519.0953762326715,1552.4621439347927
23,23,ESTIRAO DA SANTA CRUZ,12880000,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,TEFE-AM,-4.2922,-65.2017,0,12403000,RIO TEFE,RHN,Ativo,147570,9039555,south_america,geoglows,941.5628824614015,983.3453264235402,1011.0089399368861,1045.961988945816,1071.892157419905,1097.630861600262
24,24,TEFE - MISSOES,12900001,1,12,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,TEFE-AM,-3.3758,-64.6547,0,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,145776,9035513,south_america,geoglows,1341.7195981264906,1433.63050130097,1494.4835166340447,1571.3714628256007,1628.4113335923644,1685.030030906983
25,25,SERINGAL MOREIRA,13100000,1,13,00100 - COHIDRO - Consultoria. Estudos e Projetos,00001 - ANA - Agencia Nacional de Aguas,COARI-AM,-5.1092,-63.9847,0,13100000,RIO COARI,RHN,Ativo,149743,9043377,south_america,geoglows,943.8183149818574,986.4529089295675,1014.6807198813784,1050.3466338494677,1076.805646273209,1103.0692895025068
26,26,COARI,13150003,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,COARI-AM,-4.0856,-63.0833,0,10001000,RIO SOLIMOES_AMAZONAS,RHN,Ativo,147051,9038419,south_america,geoglows,1611.9882805373743,1673.3955852572021,1714.0525642076173,1765.4227648910285,1803.5321143194085,1841.3600702936662
27,27,MANOEL URBANO,13180000,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,MANOEL URBANO-AC,-8.8886,-69.275,0,13300000,RIO PURUS,RHN,Ativo,156498,9060121,south_america,geoglows,1214.5453483025103,1306.4290204407964,1367.2640064584602,1444.1291725621998,1501.1521437584918,1557.7540662864144
28,28,SENA MADUREIRA,13310000,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,SENA MADUREIRA-AC,-9.0678,-68.6531,0,13329000,RIO IACO,RHN,Ativo,157009,9061299,south_america,geoglows,,,,,,
29,29,SERINGAL GUARANY,13405000,1,13,00426 - CONSTRUFAM - CONSTRUFAM,00001 - ANA - Agencia Nacional de Aguas,SENA MADUREIRA-AC,-9.1103,-68.9933,0,13329800,RIO CAETE,RHN,Ativo,157019,9061321,south_america,geoglows,1566.3173128959743,1705.5142429747027,1797.674722611353,1914.119732944956,2000.5052936193888,2086.252996873816
30,30,SERINGAL DA CARIDADE,13410000,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,BOCA DO ACRE-AM,-9.0439,-68.5772,0,13300000,RIO PURUS,RHN,Ativo,156822,9060720,south_america,geoglows,1568.591173796875,1685.979709002186,1763.7011336215824,1861.9023596636919,1934.7536389607692,2007.0669958470437
31,31,ALDEIA DOS PATOS,13439000,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,ASSIS BRASIL-AC,-10.9261,-69.9233,256,13330000,RIO ACRE,RHN,Ativo,160164,9068756,south_america,geoglows,,,,,,
32,32,ASSIS BRASIL,13450000,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,ASSIS BRASIL-AC,-10.9436,-69.5656,0,13330000,RIO ACRE,RHN,Ativo,160236,9068917,south_america,geoglows,799.9624921564686,962.6170873921092,1070.3085824814298,1206.377072011405,1307.320450559744,1407.5184790460494
33,33,BRASILEIA,13470000,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,BRASILEIA-AC,-11.0178,-68.745,0,13330000,RIO ACRE,RHN,Manutencao,160310,9069081,south_america,geoglows,951.8004885651076,1075.2471149171483,1156.9795230075838,1260.2486372982623,1336.8595656050636,1412.9048108429292
34,34,COLONIA DOLORES _XAPURI,13540000,1,13,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agencia Nacional de Aguas,XAPURI-AC,-10.5606,-68.7047,0,13333200,RIO XAPURI,RHN,Ativo,159603,9067323,south_america,geoglows,,,,,,
