COMID,order_,watershed,subbasin,region
9009211,1,south_america,geoglows,Guianas
9009227,1,south_america,geoglows,Guianas
9009652,1,south_america,geoglows,Amazon_River
9009658,1,south_america,geoglows,Amazon_River
9009767,1,south_america,geoglows,Amazon_River
9009777,2,south_america,geoglows,Amazon_River
9009778,1,south_america,geoglows,Amazon_River
9009799,2,south_america,geoglows,Amazon_River
9009800,1,south_america,geoglows,Amazon_River
9009806,1,south_america,geoglows,Amazon_River
9009807,1,south_america,geoglows,Amazon_River
9009847,1,south_america,geoglows,Amazon_River
9009875,2,south_america,geoglows,Amazon_River
9009897,1,south_america,geoglows,Amazon_River
9009904,1,south_america,geoglows,Amazon_River
9009905,2,south_america,geoglows,Amazon_River
9010009,2,south_america,geoglows,Amazon_River
9010010,1,south_america,geoglows,Amazon_River
9010141,1,south_america,geoglows,Amazon_River
9010142,2,south_america,geoglows,Amazon_River
9010173,1,south_america,geoglows,Orinoco_River
9010301,2,south_america,geoglows,Amazon_River
9010302,1,south_america,geoglows,Amazon_River
9010420,1,south_america,geoglows,Amazon_River
9010421,2,south_america,geoglows,Amazon_River
9010448,1,south_america,geoglows,Amazon_River
9010449,2,south_america,geoglows,Amazon_River
9010490,2,south_america,geoglows,Orinoco_River
9010545,1,south_america,geoglows,Orinoco_River
9010546,3,south_america,geoglows,Orinoco_River
9010618,1,south_america,geoglows,Amazon_River
9010619,2,south_america,geoglows,Amazon_River
9010620,1,south_america,geoglows,Amazon_River
9010622,2,south_america,geoglows,Amazon_River
9010629,2,south_america,geoglows,Amazon_River
9010630,1,south_america,geoglows,Amazon_River
9010654,2,south_america,geoglows,Amazon_River
9010655,1,south_america,geoglows,Amazon_River
9010695,2,south_america,geoglows,Amazon_River
9010697,2,south_america,geoglows,Amazon_River
9010727,1,south_america,geoglows,Amazon_River
9010732,2,south_america,geoglows,Amazon_River
9010780,2,south_america,geoglows,Amazon_River
9010784,3,south_america,geoglows,Amazon_River
9010789,1,south_america,geoglows,Amazon_River
9010790,2,south_america,geoglows,Amazon_River
9010793,2,south_america,geoglows,Amazon_River
9010794,1,south_america,geoglows,Amazon_River
9010807,1,south_america,geoglows,Amazon_River
9010811,1,south_america,geoglows,Amazon_River
9010813,2,south_america,geoglows,Amazon_River
9010862,1,south_america,geoglows,Amazon_River
9010876,2,south_america,geoglows,Amazon_River
9010877,1,south_america,geoglows,Amazon_River
9010881,1,south_america,geoglows,Amazon_River
9010910,2,south_america,geoglows,Amazon_River
9010919,2,south_america,geoglows,Amazon_River
9010929,1,south_america,geoglows,Amazon_River
9010940,3,south_america,geoglows,Amazon_River
9010941,1,south_america,geoglows,Amazon_River
9010956,3,south_america,geoglows,Amazon_River
9010971,1,south_america,geoglows,Amazon_River
9011041,1,south_america,geoglows,Orinoco_River
9011141,3,south_america,geoglows,Amazon_River
9011145,1,south_america,geoglows,Orinoco_River
9011149,1,south_america,geoglows,Amazon_River
9011168,1,south_america,geoglows,Amazon_River
9011171,1,south_america,geoglows,Amazon_River
9011172,2,south_america,geoglows,Amazon_River
9011192,3,south_america,geoglows,Amazon_River
9011200,3,south_america,geoglows,Amazon_River
9011201,1,south_america,geoglows,Amazon_River
9011205,3,south_america,geoglows,Amazon_River
9011223,3,south_america,geoglows,Amazon_River
9011227,1,south_america,geoglows,Orinoco_River
9011251,1,south_america,geoglows,Amazon_River
9011254,2,south_america,geoglows,Amazon_River
9011262,3,south_america,geoglows,Amazon_River
9011287,1,south_america,geoglows,Amazon_River
9011288,1,south_america,geoglows,Amazon_River
9011296,3,south_america,geoglows,Amazon_River
9011302,3,south_america,geoglows,Amazon_River
9011309,1,south_america,geoglows,Amazon_River
9011310,1,south_america,geoglows,Amazon_River
9011332,1,south_america,geoglows,Amazon_River
9011333,1,south_america,geoglows,Amazon_River
9011375,1,south_america,geoglows,Guianas
9011380,1,south_america,geoglows,Amazon_River
9011382,2,south_america,geoglows,Amazon_River
9011383,1,south_america,geoglows,Amazon_River
9011407,1,south_america,geoglows,Amazon_River
9011408,1,south_america,geoglows,Amazon_River
9011429,3,south_america,geoglows,Amazon_River
9011461,2,south_america,geoglows,Amazon_River
9011462,2,south_america,geoglows,Amazon_River
9011463,1,south_america,geoglows,Amazon_River
9011468,1,south_america,geoglows,Amazon_River
9011469,2,south_america,geoglows,Amazon_River
9011475,1,south_america,geoglows,Amazon_River
9011502,3,south_america,geoglows,Amazon_River
9011515,2,south_america,geoglows,Amazon_River
9011527,1,south_america,geoglows,Amazon_River
9011528,3,south_america,geoglows,Amazon_River
9011535,1,south_america,geoglows,Amazon_River
9011550,1,south_america,geoglows,Amazon_River
9011568,2,south_america,geoglows,Guianas
9011573,1,south_america,geoglows,Amazon_River
9011574,3,south_america,geoglows,Amazon_River
9011575,1,south_america,geoglows,Guianas
9011642,2,south_america,geoglows,Amazon_River
9011643,1,south_america,geoglows,Amazon_River
9011649,1,south_america,geoglows,Orinoco_River
9011677,3,south_america,geoglows,Amazon_River
9011678,3,south_america,geoglows,Amazon_River
9011719,1,south_america,geoglows,Amazon_River
9011720,3,south_america,geoglows,Amazon_River
9011725,3,south_america,geoglows,Amazon_River
9011738,1,south_america,geoglows,Guianas
9011758,3,south_america,geoglows,Amazon_River
9011764,3,south_america,geoglows,Orinoco_River
9011765,2,south_america,geoglows,Orinoco_River
9011766,1,south_america,geoglows,Amazon_River
9011785,2,south_america,geoglows,Amazon_River
9011801,1,south_america,geoglows,Amazon_River
9011807,1,south_america,geoglows,Orinoco_River
9011811,1,south_america,geoglows,Amazon_River
9011812,1,south_america,geoglows,Amazon_River
9011851,1,south_america,geoglows,Amazon_River
9011852,2,south_america,geoglows,Amazon_River
9011860,4,south_america,geoglows,Amazon_River
9011861,2,south_america,geoglows,Amazon_River
9011863,3,south_america,geoglows,Orinoco_River
9011868,1,south_america,geoglows,Amazon_River
9011872,2,south_america,geoglows,Orinoco_River
9011878,1,south_america,geoglows,Orinoco_River
9011890,1,south_america,geoglows,Orinoco_River
9011911,2,south_america,geoglows,Amazon_River
9011912,2,south_america,geoglows,Amazon_River
9011916,1,south_america,geoglows,Orinoco_River
9011919,2,south_america,geoglows,Amazon_River
9011926,1,south_america,geoglows,Amazon_River
9011942,3,south_america,geoglows,Orinoco_River
9011948,2,south_america,geoglows,Orinoco_River
9011961,1,south_america,geoglows,Guianas
9011963,1,south_america,geoglows,Orinoco_River
9011966,2,south_america,geoglows,Orinoco_River
9011977,1,south_america,geoglows,Amazon_River
9012001,1,south_america,geoglows,Guianas
9012002,1,south_america,geoglows,Amazon_River
9012006,3,south_america,geoglows,Amazon_River
9012009,3,south_america,geoglows,Orinoco_River
9012014,2,south_america,geoglows,Guianas
9012023,2,south_america,geoglows,Amazon_River
9012026,3,south_america,geoglows,Orinoco_River
9012028,1,south_america,geoglows,Amazon_River
9012031,1,south_america,geoglows,Amazon_River
9012037,1,south_america,geoglows,Amazon_River
9012044,1,south_america,geoglows,Amazon_River
9012059,1,south_america,geoglows,Amazon_River
9012062,1,south_america,geoglows,Amazon_River
9012078,1,south_america,geoglows,Orinoco_River
9012081,1,south_america,geoglows,Amazon_River
9012087,3,south_america,geoglows,Amazon_River
9012095,1,south_america,geoglows,Orinoco_River
9012124,3,south_america,geoglows,Amazon_River
9012136,1,south_america,geoglows,Amazon_River
9012143,2,south_america,geoglows,Amazon_River
9012150,1,south_america,geoglows,Amazon_River
9012159,3,south_america,geoglows,Amazon_River
9012160,1,south_america,geoglows,Amazon_River
9012167,1,south_america,geoglows,Guianas
9012183,1,south_america,geoglows,Orinoco_River
9012200,2,south_america,geoglows,Amazon_River
9012201,1,south_america,geoglows,Amazon_River
9012205,1,south_america,geoglows,Amazon_River
9012206,1,south_america,geoglows,Amazon_River
9012209,4,south_america,geoglows,Amazon_River
9012210,1,south_america,geoglows,Amazon_River
9012215,1,south_america,geoglows,Amazon_River
9012226,3,south_america,geoglows,Amazon_River
9012229,1,south_america,geoglows,Amazon_River
9012237,1,south_america,geoglows,Amazon_River
9012253,3,south_america,geoglows,Orinoco_River
9012263,1,south_america,geoglows,Amazon_River
9012271,4,south_america,geoglows,Guianas
9012289,2,south_america,geoglows,Amazon_River
9012290,2,south_america,geoglows,Amazon_River
9012303,4,south_america,geoglows,Guianas
9012305,1,south_america,geoglows,Amazon_River
9012307,1,south_america,geoglows,Amazon_River
9012308,2,south_america,geoglows,Amazon_River
9012313,1,south_america,geoglows,Amazon_River
9012314,2,south_america,geoglows,Guianas
9012324,1,south_america,geoglows,Amazon_River
9012327,2,south_america,geoglows,Amazon_River
9012328,2,south_america,geoglows,Guianas
9012329,1,south_america,geoglows,Guianas
9012330,2,south_america,geoglows,Amazon_River
9012331,2,south_america,geoglows,Amazon_River
9012332,4,south_america,geoglows,Amazon_River
9012333,1,south_america,geoglows,Amazon_River
9012337,1,south_america,geoglows,Amazon_River
9012339,1,south_america,geoglows,Guianas
9012340,1,south_america,geoglows,Guianas
9012352,1,south_america,geoglows,Amazon_River
9012355,2,south_america,geoglows,Guianas
9012359,4,south_america,geoglows,Guianas
9012363,1,south_america,geoglows,Orinoco_River
9012364,1,south_america,geoglows,Amazon_River
9012365,2,south_america,geoglows,Amazon_River
9012366,1,south_america,geoglows,Guianas
9012372,3,south_america,geoglows,Orinoco_River
9012375,1,south_america,geoglows,Guianas
9012376,4,south_america,geoglows,Guianas
9012379,2,south_america,geoglows,Amazon_River
9012402,2,south_america,geoglows,Amazon_River
9012405,1,south_america,geoglows,Amazon_River
9012416,2,south_america,geoglows,Amazon_River
9012417,1,south_america,geoglows,Amazon_River
9012418,1,south_america,geoglows,Amazon_River
9012420,1,south_america,geoglows,Amazon_River
9012432,2,south_america,geoglows,Amazon_River
9012465,1,south_america,geoglows,Amazon_River
9012466,1,south_america,geoglows,Amazon_River
9012467,1,south_america,geoglows,Amazon_River
9012479,1,south_america,geoglows,Guianas
9012483,2,south_america,geoglows,Amazon_River
9012492,1,south_america,geoglows,Amazon_River
9012498,2,south_america,geoglows,Amazon_River
9012499,1,south_america,geoglows,Guianas
9012501,1,south_america,geoglows,Orinoco_River
9012504,2,south_america,geoglows,Amazon_River
9012505,1,south_america,geoglows,Guianas
9012508,3,south_america,geoglows,Amazon_River
9012524,2,south_america,geoglows,Amazon_River
9012525,2,south_america,geoglows,Amazon_River
9012532,1,south_america,geoglows,Orinoco_River
9012546,4,south_america,geoglows,Guianas
9012547,1,south_america,geoglows,Amazon_River
9012553,1,south_america,geoglows,Amazon_River
9012578,1,south_america,geoglows,Amazon_River
9012579,2,south_america,geoglows,Amazon_River
9012580,2,south_america,geoglows,Amazon_River
9012587,2,south_america,geoglows,Amazon_River
9012588,1,south_america,geoglows,Amazon_River
9012602,1,south_america,geoglows,Amazon_River
9012603,1,south_america,geoglows,Amazon_River
9012609,1,south_america,geoglows,Amazon_River
9012612,1,south_america,geoglows,Amazon_River
9012619,1,south_america,geoglows,Amazon_River
9012629,2,south_america,geoglows,Amazon_River
9012634,3,south_america,geoglows,Amazon_River
9012635,4,south_america,geoglows,Amazon_River
9012638,2,south_america,geoglows,Amazon_River
9012647,1,south_america,geoglows,Orinoco_River
9012648,1,south_america,geoglows,Amazon_River
9012655,1,south_america,geoglows,Amazon_River
9012657,3,south_america,geoglows,Amazon_River
9012677,1,south_america,geoglows,Amazon_River
9012680,4,south_america,geoglows,Guianas
9012684,1,south_america,geoglows,Amazon_River
9012685,3,south_america,geoglows,Amazon_River
9012686,1,south_america,geoglows,Amazon_River
9012689,1,south_america,geoglows,Amazon_River
9012690,1,south_america,geoglows,Amazon_River
9012691,2,south_america,geoglows,Amazon_River
9012694,2,south_america,geoglows,Amazon_River
9012695,1,south_america,geoglows,Amazon_River
9012696,2,south_america,geoglows,Amazon_River
9012697,3,south_america,geoglows,Amazon_River
9012701,1,south_america,geoglows,Amazon_River
9012713,1,south_america,geoglows,Guianas
9012714,3,south_america,geoglows,Guianas
9012720,1,south_america,geoglows,Orinoco_River
9012725,1,south_america,geoglows,Amazon_River
9012726,2,south_america,geoglows,Amazon_River
9012733,2,south_america,geoglows,Guianas
9012734,1,south_america,geoglows,Guianas
9012738,2,south_america,geoglows,Amazon_River
9012740,2,south_america,geoglows,Amazon_River
9012741,1,south_america,geoglows,Amazon_River
9012748,2,south_america,geoglows,Amazon_River
9012753,1,south_america,geoglows,Orinoco_River
9012754,1,south_america,geoglows,Orinoco_River
9012762,1,south_america,geoglows,Amazon_River
9012764,1,south_america,geoglows,Orinoco_River
9012767,2,south_america,geoglows,Amazon_River
9012768,3,south_america,geoglows,Amazon_River
9012769,1,south_america,geoglows,Amazon_River
9012770,1,south_america,geoglows,Amazon_River
9012771,3,south_america,geoglows,Amazon_River
9012775,1,south_america,geoglows,Amazon_River
9012783,3,south_america,geoglows,Amazon_River
9012786,4,south_america,geoglows,Guianas
9012788,2,south_america,geoglows,Amazon_River
9012789,1,south_america,geoglows,Amazon_River
9012795,1,south_america,geoglows,Amazon_River
9012800,1,south_america,geoglows,Guianas
9012804,2,south_america,geoglows,Amazon_River
9012805,1,south_america,geoglows,Amazon_River
9012813,1,south_america,geoglows,Amazon_River
9012828,1,south_america,geoglows,Amazon_River
9012831,1,south_america,geoglows,Amazon_River
9012835,1,south_america,geoglows,Amazon_River
9012851,3,south_america,geoglows,Amazon_River
9012852,1,south_america,geoglows,Amazon_River
9012854,1,south_america,geoglows,Amazon_River
9012868,3,south_america,geoglows,Amazon_River
9012873,3,south_america,geoglows,Amazon_River
9012878,1,south_america,geoglows,Amazon_River
9012880,4,south_america,geoglows,Amazon_River
9012881,2,south_america,geoglows,Amazon_River
9012885,1,south_america,geoglows,Amazon_River
9012887,3,south_america,geoglows,Amazon_River
9012889,1,south_america,geoglows,Amazon_River
9012892,1,south_america,geoglows,Amazon_River
9012893,2,south_america,geoglows,Amazon_River
9012895,2,south_america,geoglows,Amazon_River
9012896,1,south_america,geoglows,Amazon_River
9012898,2,south_america,geoglows,Amazon_River
9012907,1,south_america,geoglows,Amazon_River
9012914,2,south_america,geoglows,Orinoco_River
9012920,1,south_america,geoglows,Amazon_River
9012931,2,south_america,geoglows,Amazon_River
9012934,4,south_america,geoglows,Guianas
9012935,2,south_america,geoglows,Amazon_River
9012936,1,south_america,geoglows,Amazon_River
