datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s,comid
2023-05-30T00:00:00Z,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,69.62596,9010142
2023-05-30T01:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.02904,,,,,9010142
2023-05-30T02:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.79364,,,,,9010142
2023-05-30T03:00:00Z,76.46303,72.985695,73.32116,74.65545,72.95698,76.50221,72.92557,73.7083,77.58283,73.92214,73.34925,73.92012,74.74333,73.37896,79.43526,72.75026,77.67636,75.37758,74.711,74.55503,73.829155,73.309364,74.18807,73.27807,74.33157,74.082245,74.40716,74.30048,74.60365,73.4822,77.28863,80.32163,72.68143,73.446785,73.942,73.46183,74.41788,74.35565,76.59836,73.4742,75.5565,74.32017,74.566284,73.01173,74.31571,73.44301,74.114975,78.66194,73.40272,74.69721,73.18093,73.682274,9010142
2023-05-30T04:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.10503,,,,,9010142
2023-05-30T05:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.69389,,,,,9010142
2023-05-30T06:00:00Z,89.16883,76.51166,79.42629,83.99323,78.93269,89.456505,78.28951,81.50469,92.890396,81.44439,79.92964,81.72187,84.21224,80.62797,98.69175,77.923485,92.848656,83.96653,83.355095,84.27089,82.557014,80.42118,82.21013,79.00845,82.96421,83.078476,83.159775,83.96135,84.87614,80.17104,90.825226,102.05465,78.47053,80.5952,81.50618,80.30562,83.95606,83.345085,89.580185,80.41469,86.78077,82.34761,84.34494,78.47429,82.77483,80.00781,82.474594,86.31905,80.2825,84.62947,79.697235,80.3573,9010142
2023-05-30T07:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.14943,,,,,9010142
2023-05-30T08:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.42038,,,,,9010142
2023-05-30T09:00:00Z,110.02996,87.076355,79.843895,91.270996,80.01579,95.59617,77.382324,91.582825,107.73573,88.72389,83.29903,83.768524,89.16787,84.57935,113.81407,79.24477,104.95869,114.98616,92.3509,91.29859,91.39854,83.697655,83.34186,88.45923,98.3373,88.59422,94.24684,90.975334,93.898415,80.33947,100.88149,119.41918,79.227905,83.5994,83.58395,84.143135,91.76064,88.344696,101.044395,82.05145,93.30021,93.53405,89.47633,80.466545,85.787155,84.29609,87.141075,87.26244,81.83347,100.57617,82.04296,79.67188,9010142
2023-05-30T10:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.80245,,,,,9010142
2023-05-30T11:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.13472,,,,,9010142
2023-05-30T12:00:00Z,129.4064,100.412094,76.31598,95.5567,76.7499,95.763435,72.516884,99.26712,120.64263,93.01128,82.21014,81.452705,91.169624,85.31808,123.68725,76.750244,111.54713,149.02734,101.92037,96.770805,98.17943,83.39466,78.93407,93.95098,110.925354,98.80198,103.10025,96.61949,103.13935,75.76666,107.9849,131.46556,76.72655,83.88138,81.31173,85.52403,97.88154,88.97469,114.2918,79.234856,95.37003,103.14536,91.18968,84.28961,84.78979,86.52144,87.54468,85.35724,78.971344,118.8257,81.1052,74.20404,9010142
2023-05-30T13:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.55251,,,,,9010142
2023-05-30T14:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.87763,,,,,9010142
2023-05-30T15:00:00Z,136.81766,102.17041,70.79907,96.82043,72.9573,92.99611,66.32147,101.482834,128.78864,90.139984,77.96742,77.71882,91.630905,84.29668,128.67102,72.80867,113.41948,165.28108,105.09942,100.34108,101.849846,81.76155,73.16403,92.620544,114.5392,110.93699,106.12388,100.702965,111.05756,70.0597,110.32521,138.73619,73.8886,84.148506,77.147575,88.48685,100.936745,87.285164,128.78557,74.61569,94.849976,107.87443,91.61861,86.861694,82.11543,86.19075,85.370865,83.43804,74.4814,129.92825,77.08606,67.95286,9010142
2023-05-30T16:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.87361,,,,,9010142
2023-05-30T17:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.28012,,,,,9010142
2023-05-30T18:00:00Z,134.62737,93.983246,65.30993,96.21316,70.52912,89.60701,60.56924,100.06024,133.4653,83.32184,73.60068,74.09579,91.05433,82.84513,130.61613,68.31054,113.19528,166.1574,103.325096,102.25838,101.52468,81.600395,67.89936,87.20832,110.98214,114.58778,105.91186,102.7076,116.911095,65.39996,108.23896,142.2844,71.99139,85.35357,73.08076,89.46314,99.97199,85.2198,136.3908,70.251686,93.21951,106.03835,92.379234,83.64223,79.606606,83.18527,82.70175,81.846504,70.496025,134.44061,71.75209,62.8743,9010142
2023-05-30T19:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.523735,,,,,9010142
2023-05-30T20:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.266426,,,,,9010142
2023-05-30T21:00:00Z,128.72308,81.89109,59.999023,95.081474,68.25432,87.00423,56.234722,96.44236,135.34189,76.04867,70.966354,70.73653,89.25441,81.220695,131.27931,63.28853,112.49234,157.10576,98.42544,102.91561,98.32364,83.10357,63.67562,80.07838,104.54431,109.56465,104.770256,102.7151,118.425995,61.9873,104.609406,143.32614,71.26546,85.643845,69.693886,88.23111,96.57529,83.504616,135.32349,66.71829,91.25661,99.464424,92.75687,77.01347,77.04885,80.32543,80.495445,81.03556,68.134796,134.44933,66.80392,59.69159,9010142
2023-05-30T22:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.83237,,,,,9010142
2023-05-30T23:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7086,,,,,9010142
2023-05-31T00:00:00Z,123.307014,70.10921,59.692287,94.696365,66.82816,94.59793,53.03505,91.94185,136.10272,70.93646,74.18382,71.055984,87.40663,80.026184,131.57706,64.25975,111.94338,144.29013,91.862305,106.99128,94.51294,83.062386,60.51977,76.504105,101.976494,101.51127,115.752914,101.128525,116.48706,59.625656,103.45878,142.75768,75.68897,84.56579,68.336136,94.8876,100.29286,82.20816,131.06993,75.51952,99.862686,92.39008,94.00434,75.67992,79.91856,81.55546,78.46527,80.62768,68.19983,129.6047,62.764755,57.54747,9010142
2023-05-31T01:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.57903,,,,,9010142
2023-05-31T02:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62132,,,,,9010142
2023-05-31T03:00:00Z,118.30395,61.03315,62.12652,94.921936,65.23376,103.79364,50.865948,87.86012,135.23932,67.073875,76.75348,72.41958,85.74358,81.10674,132.24458,65.65108,111.68821,132.46687,85.72403,109.984764,92.12208,80.640114,58.39577,73.91178,100.05011,93.59415,128.63737,99.06782,113.51282,58.3289,102.44824,141.52858,80.29592,82.539474,69.7076,98.72907,103.060875,82.49069,126.83846,84.20248,107.69876,86.042755,95.95681,75.09765,87.45218,82.67733,76.335655,80.71777,68.80366,124.65808,59.54489,55.898323,9010142
2023-05-31T04:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.86365,,,,,9010142
2023-05-31T05:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07328,,,,,9010142
2023-05-31T06:00:00Z,114.16389,54.971745,62.266926,95.57334,66.82823,105.44652,49.4879,84.82445,133.1851,63.66024,75.77953,72.23662,84.91921,82.19126,133.25052,63.302517,111.718185,123.67706,81.65152,109.63057,90.88841,77.06457,57.291344,70.05253,97.40814,87.44931,131.97296,97.26988,111.03667,57.953323,100.61413,140.23698,82.50757,80.1595,70.94493,95.58249,100.90791,83.066795,123.71424,84.93882,108.93306,81.0666,96.50624,71.17763,92.94804,81.65218,75.89381,81.32067,69.687096,119.71777,57.19099,54.667873,9010142
2023-05-31T07:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.524185,,,,,9010142
2023-05-31T08:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7365,,,,,9010142
