rivid,return_period_100,return_period_50,return_period_25,return_period_10,return_period_5,return_period_2,comid
9010695.0,340.30014,300.9848,261.37704,207.98698,165.73141,101.909615,9010695
9010629.0,321.393,284.45526,247.24274,197.08142,157.38123,97.41902,9010629
9010546.0,185.01474,165.12076,145.07878,118.06282,96.68102,64.38649,9010546
9010421.0,296.11966,262.60684,228.84476,183.3345,147.3154,92.91301,9010421
9010301.0,260.78467,231.8195,202.63885,163.30424,132.17287,85.15277,9010301
9010142.0,237.90982,211.90994,185.71666,150.40895,122.46464,80.25823,9010142
9009905.0,204.29297,182.70311,160.95264,131.6337,108.42921,73.38171,9009905
9009777.0,87.23991,77.75951,68.20859,55.334244,45.14484,29.755009,9009777
9107665.0,0.0,0.0,0.0,0.0,0.0,0.0,9107665
9099132.0,76.29968,67.88421,59.406128,47.977947,38.933105,25.271997,9099132
9030332.0,30.376076,27.231627,24.063786,19.793638,16.414026,11.309544,9030332
9039635.0,66327.03480405148,64275.898810418905,62209.504888429976,59424.07107610407,57219.537662395225,53889.86441574888,9039635
9043285.0,1660.869663731016,1599.720749133708,1538.1169618410297,1455.0770001636365,1389.3549681480736,1290.0900214901333,9043285
9039819.0,6230.389496454282,5951.098380794962,5669.729682836601,5290.453555142139,4990.275215658869,4536.893207482071,9039819
9041015.0,4797.300206645613,4544.919613589062,4290.661619414618,3947.929865080969,3676.6745938107942,3266.977279112083,9041015
9035798.0,92779.06172552067,88729.18146914101,84649.17508607081,79149.4552054729,74796.69830664972,68222.40094964854,9035798
9034355.0,114405.27897086497,109287.0110405552,104130.6694936585,97180.08377048589,91679.03815102928,83370.39364884855,9034355
9041357.0,1856.1198551668983,1732.50838063187,1607.977388800897,1440.113540752698,1307.2575883554705,1106.5952134493243,9041357
9035654.0,5074.42430632617,4881.147768787776,4686.433491591026,4423.964789145176,4216.233762820226,3902.481911044516,9035654
9032035.0,161613.0035810998,152628.28235739903,143576.725861362,131375.5132803783,121718.85559800356,107133.6764679985,9032035
9060283.0,3469.185458442465,3265.0206544748225,3059.3371155420195,2782.082194355047,2562.648605530507,2231.221490123146,9060283
