datetime,streamflow_m^3/s,comid
2023-05-22 00:00:00,40.460938,9010142
2023-05-22 03:00:00,39.585777,9010142
2023-05-22 06:00:00,37.752888,9010142
2023-05-22 09:00:00,35.42983,9010142
2023-05-22 12:00:00,32.868687,9010142
2023-05-22 15:00:00,30.47441,9010142
2023-05-22 18:00:00,28.415133,9010142
2023-05-22 21:00:00,27.046326,9010142
2023-05-23 00:00:00,26.792969,9010142
2023-05-23 03:00:00,27.80846,9010142
2023-05-23 06:00:00,31.802324,9010142
2023-05-23 09:00:00,35.14407,9010142
2023-05-23 12:00:00,36.292866,9010142
2023-05-23 15:00:00,35.498642,9010142
2023-05-23 18:00:00,33.707115,9010142
2023-05-23 21:00:00,32.00545,9010142
2023-05-24 00:00:00,31.111687,9010142
2023-05-24 03:00:00,31.230904,9010142
2023-05-24 06:00:00,31.777462,9010142
2023-05-24 09:00:00,31.60063,9010142
2023-05-24 12:00:00,31.050547,9010142
2023-05-24 15:00:00,30.516958,9010142
2023-05-24 18:00:00,30.34804,9010142
2023-05-24 21:00:00,31.03719,9010142
2023-05-25 00:00:00,32.274895,9010142
2023-05-25 03:00:00,32.967434,9010142
2023-05-25 06:00:00,34.1583,9010142
2023-05-25 09:00:00,34.52856,9010142
2023-05-25 12:00:00,34.232864,9010142
2023-05-25 15:00:00,33.790443,9010142
2023-05-25 18:00:00,33.94303,9010142
2023-05-25 21:00:00,35.023067,9010142
2023-05-26 00:00:00,37.939827,9010142
2023-05-26 03:00:00,39.170597,9010142
2023-05-26 06:00:00,40.95916,9010142
2023-05-26 09:00:00,41.901424,9010142
2023-05-26 12:00:00,42.787907,9010142
2023-05-26 15:00:00,45.24203,9010142
2023-05-26 18:00:00,50.117203,9010142
2023-05-26 21:00:00,55.880047,9010142
2023-05-27 00:00:00,60.666325,9010142
2023-05-27 03:00:00,62.35925,9010142
2023-05-27 06:00:00,64.312164,9010142
2023-05-27 09:00:00,63.572495,9010142
2023-05-27 12:00:00,60.614517,9010142
2023-05-27 15:00:00,57.34627,9010142
2023-05-27 18:00:00,55.373917,9010142
2023-05-27 21:00:00,55.021854,9010142
2023-05-28 00:00:00,55.90731,9010142
2023-05-28 03:00:00,56.684227,9010142
2023-05-28 06:00:00,57.897884,9010142
2023-05-28 09:00:00,57.836613,9010142
2023-05-28 12:00:00,56.60245,9010142
2023-05-28 15:00:00,54.989765,9010142
2023-05-28 18:00:00,53.96679,9010142
2023-05-28 21:00:00,53.7192,9010142
2023-05-29 00:00:00,58.97363,9010142
2023-05-29 03:00:00,62.18238,9010142
2023-05-29 06:00:00,66.58648,9010142
2023-05-29 09:00:00,67.34615,9010142
2023-05-29 12:00:00,65.991554,9010142
2023-05-29 15:00:00,64.12962,9010142
2023-05-29 18:00:00,62.997032,9010142
2023-05-29 21:00:00,63.060574,9010142
2023-05-30 00:00:00,69.62597,9010142
2023-05-30 03:00:00,74.57066,9010142
2023-05-30 06:00:00,83.48304,9010142
2023-05-30 09:00:00,90.37422,9010142
2023-05-30 12:00:00,94.632675,9010142
2023-05-30 15:00:00,95.60518,9010142
2023-05-30 18:00:00,94.08283,9010142
2023-05-30 21:00:00,91.21657,9010142
2023-05-22 00:00:00,43.446373,9010301
2023-05-22 03:00:00,43.33258,9010301
2023-05-22 06:00:00,41.880867,9010301
2023-05-22 09:00:00,40.003582,9010301
2023-05-22 12:00:00,37.844772,9010301
2023-05-22 15:00:00,35.247646,9010301
2023-05-22 18:00:00,32.76627,9010301
2023-05-22 21:00:00,30.84219,9010301
2023-05-23 00:00:00,30.21981,9010301
2023-05-23 03:00:00,30.06372,9010301
2023-05-23 06:00:00,30.482674,9010301
2023-05-23 09:00:00,33.195827,9010301
2023-05-23 12:00:00,35.84025,9010301
2023-05-23 15:00:00,37.134296,9010301
2023-05-23 18:00:00,36.919155,9010301
2023-05-23 21:00:00,35.841763,9010301
2023-05-24 00:00:00,34.96656,9010301
2023-05-24 03:00:00,34.409092,9010301
2023-05-24 06:00:00,33.57027,9010301
2023-05-24 09:00:00,33.519665,9010301
2023-05-24 12:00:00,33.3176,9010301
2023-05-24 15:00:00,32.953804,9010301
2023-05-24 18:00:00,32.72178,9010301
2023-05-24 21:00:00,33.412804,9010301
2023-05-25 00:00:00,34.277958,9010301
2023-05-25 03:00:00,34.498924,9010301
2023-05-25 06:00:00,35.161633,9010301
2023-05-25 09:00:00,35.926548,9010301
2023-05-25 12:00:00,36.372623,9010301
2023-05-25 15:00:00,36.39658,9010301
2023-05-25 18:00:00,36.50563,9010301
2023-05-25 21:00:00,37.86529,9010301
2023-05-26 00:00:00,38.583122,9010301
2023-05-26 03:00:00,39.381187,9010301
2023-05-26 06:00:00,41.36918,9010301
2023-05-26 09:00:00,43.18762,9010301
2023-05-26 12:00:00,44.52783,9010301
2023-05-26 15:00:00,46.50329,9010301
2023-05-26 18:00:00,49.91712,9010301
2023-05-26 21:00:00,54.047928,9010301
2023-05-27 00:00:00,58.488766,9010301
2023-05-27 03:00:00,60.525642,9010301
2023-05-27 06:00:00,64.886154,9010301
2023-05-27 09:00:00,66.8199,9010301
2023-05-27 12:00:00,66.48361,9010301
2023-05-27 15:00:00,64.42278,9010301
2023-05-27 18:00:00,61.98864,9010301
2023-05-27 21:00:00,60.77362,9010301
2023-05-28 00:00:00,60.70264,9010301
2023-05-28 03:00:00,60.568626,9010301
2023-05-28 06:00:00,60.852474,9010301
2023-05-28 09:00:00,61.33164,9010301
2023-05-28 12:00:00,61.286114,9010301
2023-05-28 15:00:00,60.496235,9010301
2023-05-28 18:00:00,59.39852,9010301
2023-05-28 21:00:00,58.985107,9010301
2023-05-29 00:00:00,59.02057,9010301
2023-05-29 03:00:00,60.444054,9010301
2023-05-29 06:00:00,65.39523,9010301
2023-05-29 09:00:00,69.3472,9010301
2023-05-29 12:00:00,70.81059,9010301
2023-05-29 15:00:00,70.257195,9010301
2023-05-29 18:00:00,69.447266,9010301
2023-05-29 21:00:00,69.52302,9010301
2023-05-30 00:00:00,70.21021,9010301
2023-05-30 03:00:00,72.151825,9010301
2023-05-30 06:00:00,80.230835,9010301
2023-05-30 09:00:00,88.336006,9010301
2023-05-30 12:00:00,94.84493,9010301
2023-05-30 15:00:00,98.99869,9010301
2023-05-30 18:00:00,100.51906,9010301
2023-05-30 21:00:00,99.84911,9010301
2023-05-22 00:00:00,44.406033,9010421
2023-05-22 03:00:00,45.35761,9010421
2023-05-22 06:00:00,45.45367,9010421
2023-05-22 09:00:00,43.97145,9010421
2023-05-22 12:00:00,42.05449,9010421
2023-05-22 15:00:00,39.699905,9010421
2023-05-22 18:00:00,37.129906,9010421
2023-05-22 21:00:00,34.971878,9010421
2023-05-23 00:00:00,33.97037,9010421
2023-05-23 03:00:00,33.725048,9010421
2023-05-23 06:00:00,33.23791,9010421
2023-05-23 09:00:00,34.23795,9010421
2023-05-23 12:00:00,36.678608,9010421
2023-05-23 15:00:00,38.8124,9010421
2023-05-23 18:00:00,39.72834,9010421
2023-05-23 21:00:00,39.472717,9010421
2023-05-24 00:00:00,38.840115,9010421
2023-05-24 03:00:00,38.38327,9010421
2023-05-24 06:00:00,37.185947,9010421
2023-05-24 09:00:00,36.576195,9010421
2023-05-24 12:00:00,36.434586,9010421
2023-05-24 15:00:00,36.23138,9010421
2023-05-24 18:00:00,36.065037,9010421
2023-05-24 21:00:00,36.450912,9010421
2023-05-25 00:00:00,37.298187,9010421
2023-05-25 03:00:00,37.606045,9010421
2023-05-25 06:00:00,38.09466,9010421
2023-05-25 09:00:00,38.75674,9010421
2023-05-25 12:00:00,39.45977,9010421
2023-05-25 15:00:00,39.909977,9010421
2023-05-25 18:00:00,40.21321,9010421
2023-05-25 21:00:00,41.23549,9010421
2023-05-26 00:00:00,42.210213,9010421
2023-05-26 03:00:00,42.61949,9010421
2023-05-26 06:00:00,44.119473,9010421
2023-05-26 09:00:00,46.129135,9010421
2023-05-26 12:00:00,48.116,9010421
2023-05-26 15:00:00,50.344364,9010421
2023-05-26 18:00:00,53.269077,9010421
2023-05-26 21:00:00,56.6981,9010421
2023-05-27 00:00:00,60.60158,9010421
2023-05-27 03:00:00,62.47321,9010421
2023-05-27 06:00:00,66.705246,9010421
2023-05-27 09:00:00,70.158905,9010421
2023-05-27 12:00:00,71.54761,9010421
2023-05-27 15:00:00,70.93377,9010421
2023-05-27 18:00:00,69.12851,9010421
2023-05-27 21:00:00,67.6765,9010421
2023-05-28 00:00:00,67.002754,9010421
2023-05-28 03:00:00,66.85671,9010421
2023-05-28 06:00:00,66.60782,9010421
2023-05-28 09:00:00,66.85223,9010421
2023-05-28 12:00:00,67.18436,9010421
2023-05-28 15:00:00,67.02647,9010421
2023-05-28 18:00:00,66.39775,9010421
2023-05-28 21:00:00,66.25774,9010421
2023-05-29 00:00:00,65.69524,9010421
2023-05-29 03:00:00,65.9171,9010421
2023-05-29 06:00:00,68.74401,9010421
2023-05-29 09:00:00,73.35346,9010421
2023-05-29 12:00:00,76.67839,9010421
2023-05-29 15:00:00,77.835594,9010421
2023-05-29 18:00:00,77.78662,9010421
2023-05-29 21:00:00,78.18994,9010421
2023-05-30 00:00:00,78.56081,9010421
2023-05-30 03:00:00,79.25825,9010421
2023-05-30 06:00:00,83.966705,9010421
